Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
218460347,The Road to Tender Hearts,Annie  Hartnett,"Hartnett, Annie",,"=""0593873440""","=""9780593873441""",0,4.35,Ballantine Books,Hardcover,384,2025,2025,,2026/02/01,to-read,to-read (#362),to-read,,,,0,0
169485073,"The Strength of the Few (Hierarchy, #2)",James  Islington,"Islington, James",,"=""""","=""""",0,4.37,Text Publishing,Hardcover,720,2025,2025,,2024/02/25,currently-reading,currently-reading (#3),currently-reading,,,,1,0
226955282,Dating After the End of the World,Jeneva Rose,"Rose, Jeneva",,"=""1662520212""","=""9781662520211""",3,3.85,Montlake,Kindle Edition,295,2025,2025,2026/01/04,2025/12/29,,,read,,,,1,0
216052751,The Book Club for Troublesome Women,Marie Bostwick,"Bostwick, Marie",,"=""1400344743""","=""9781400344741""",5,4.09,Harper Muse,Paperback,372,2025,2025,2026/01/05,2025/12/07,,,read,,,,1,0
58662236,Small Things Like These,Claire Keegan,"Keegan, Claire",,"=""0802158749""","=""9780802158741""",4,4.08,Grove Press,Hardcover,118,2021,2021,2025/12/16,2025/02/08,,,read,,,,1,0
219876684,The Answer Is No,Fredrik Backman,"Backman, Fredrik",Elizabeth DeNoma,"=""1662526520""","=""9781662526527""",5,3.91,Amazon Original Stories ,Kindle Edition,68,2024,2024,2025/12/05,2025/04/22,,,read,,,,1,0
232466984,107 Days,Kamala Harris,"Harris, Kamala",,"=""1668211653""","=""9781668211656""",0,4.29,Simon & Schuster,Hardcover,304,2025,2025,,2025/12/05,to-read,to-read (#361),to-read,,,,0,0
214151420,The House of My Mother: A Daughter's Quest for Freedom,Shari Franke,"Franke, Shari",,"=""1668065398""","=""9781668065396""",0,4.30,Gallery Books,Hardcover,320,2025,2025,,2025/12/05,to-read,to-read (#360),to-read,,,,0,0
223736287,Replaceable You: Adventures in Human Anatomy,Mary Roach,"Roach, Mary",,"=""1324050624""","=""9781324050629""",0,4.11,W. W. Norton & Company,Hardcover,288,2025,2025,,2025/12/05,to-read,to-read (#359),to-read,,,,0,0
220341389,Everything Is Tuberculosis: The History and Persistence of Our Deadliest Infection,John Green,"Green, John",,"=""0525556575""","=""9780525556572""",0,4.35,Crash Course Books,Hardcover,198,2025,2025,,2025/12/05,to-read,to-read (#358),to-read,,,,0,0
210191671,Katabasis,R.F. Kuang,"Kuang, R.F.",,"=""0063021498""","=""9780063021495""",0,3.77,Harper Voyager,Kindle Edition,567,2025,2025,,2025/12/05,to-read,to-read (#357),to-read,,,,0,0
227429747,Cursed Daughters,Oyinkan Braithwaite,"Braithwaite, Oyinkan",,"=""0385551479""","=""9780385551472""",0,4.05,Doubleday,Hardcover,364,2025,2025,,2025/12/05,to-read,to-read (#356),to-read,,,,0,0
213243915,We All Live Here,Jojo Moyes,"Moyes, Jojo",,"=""1984879324""","=""9781984879325""",0,3.89,Pamela Dorman Books,Hardcover,450,2025,2025,,2025/12/05,to-read,to-read (#355),to-read,,,,0,0
217163697,My Friends,Fredrik Backman,"Backman, Fredrik",Neil   Smith,"=""1982112824""","=""9781982112820""",0,4.37,Atria Books,Hardcover,436,2025,2025,,2025/12/05,to-read,to-read (#354),to-read,,,,0,0
853510,"Murder on the Orient Express (Hercule Poirot, #10)",Agatha Christie,"Christie, Agatha",,"=""0007119313""","=""9780007119318""",3,4.20,HarperCollins,Paperback,274,2007,1934,2025/12/04,2025/10/26,,,read,,,,1,0
222490389,Alchemised,SenLinYu,"SenLinYu, SenLinYu",,"=""0593972708""","=""9780593972700""",5,4.37,Del Rey,Hardcover,1030,2025,2025,2025/11/03,2025/10/20,,,read,,,,1,0
223363578,Crafting for Sinners,Jenny Kiefer,"Kiefer, Jenny",,"=""1683694708""","=""9781683694700""",0,3.43,Quirk Books,Paperback,304,2025,2025,,2025/10/26,to-read,to-read (#353),to-read,,,,0,0
195474144,Table for Two,Amor Towles,"Towles, Amor",,"=""0593296370""","=""9780593296370""",4,4.19,Viking,Hardcover,451,2024,2024,2025/10/20,2025/05/04,,,read,,,,1,0
3591262,Cutting for Stone,Abraham   Verghese,"Verghese, Abraham",,"=""0375414495""","=""9780375414497""",0,4.33,Alfred A. Knopf,Hardcover,560,2009,2009,,2025/10/20,to-read,to-read (#352),to-read,,,,0,0
199798217,The Lion Women of Tehran,Marjan Kamali,"Kamali, Marjan",,"=""1668036584""","=""9781668036587""",5,4.48,Gallery Books,Hardcover,327,2024,2024,2025/10/19,2025/08/10,,,read,,,,1,0
222376728,"Bringer of Dust (The Talents, 2)",J.M. Miro,"Miro, J.M.",,"=""1250833876""","=""9781250833877""",0,4.16,Flatiron Books,Paperback,608,2025,2024,,2025/10/13,to-read,to-read (#351),to-read,,,,0,0
238179918,"An Assassins Anonymous Novel Series 2-Book Collection Set - Fast-Paced Thriller and Action Adventure - Assassins Anonymous, The Medusa Protocol",Rob Hart,"Hart, Rob",,"=""""","=""""",0,4.00,G.P. Putnam’s Sons,Hardcover,640,2025,,,2025/09/28,to-read,to-read (#350),to-read,,,,0,0
228026841,Assassins Anonymous,Rob Hart,"Hart, Rob",,"=""0593717414""","=""9780593717417""",0,3.89,G.P. Putnam's Sons,Paperback,336,2025,2024,,2025/09/28,to-read,to-read (#349),to-read,,,,0,0
220239049,"You Wanna Be on Top?: A Memoir of Makeovers, Manipulation, and Not Becoming America's Next Top Model",Sarah Hartshorne,"Hartshorne, Sarah",,"=""0593735242""","=""9780593735244""",4,3.91,Crown,Hardcover,272,2025,2025,2025/09/24,2025/09/20,,,read,,,,1,0
210832955,Glamorous Notions,Megan Chance,"Chance, Megan",,"=""1662515782""","=""9781662515781""",4,4.00,Lake Union Publishing,Kindle Edition,369,2025,2025,2025/09/21,2025/09/12,,,read,,,,1,0
214627245,The Undoing of Alejandro Velasco,Diego Boneta,"Boneta, Diego",,"=""1662517564""","=""9781662517563""",4,3.81,Amazon Crossing,Kindle Edition,275,2025,2025,,2025/07/08,,,read,,,,2,0
228639318,The One That Got Away,Mike Gayle,"Gayle, Mike",,"=""1662530285""","=""9781662530289""",3,3.45,Amazon Original Stories,Kindle Edition,101,2025,,2025/05/31,2025/05/31,,,read,,,,1,0
223854881,What We Can Know,Ian McEwan,"McEwan, Ian",,"=""0593804724""","=""9780593804728""",0,3.90,Knopf,Hardcover,303,2025,2025,,2025/08/27,to-read,to-read (#348),to-read,,,,0,0
227777201,Who Is the Liar,Laura Lee Bahr,"Bahr, Laura Lee",,"=""1662529023""","=""9781662529023""",4,3.39,Little A,Kindle Edition,247,2025,2025,2025/08/26,2025/08/24,,,read,,,,1,0
213212694,Butter,Asako Yuzuki,"Yuzuki, Asako",Polly Barton,"=""0063236419""","=""9780063236417""",2,3.45,Ecco,Paperback,464,2024,2017,2025/08/24,2025/07/16,,,read,,,,1,0
218460337,The Compound,Aisling Rawle,"Rawle, Aisling",,"=""0593977270""","=""9780593977279""",4,3.55,Random House,Hardcover,292,2025,2025,2025/08/22,2025/08/19,,,read,,,,1,0
44582454,Regretting You,Colleen Hoover,"Hoover, Colleen",,"=""154201641X""","=""9781542016414""",3,4.10,Montlake Romance,Kindle Edition,363,2019,2019,2024/12/28,2020/10/25,,,read,,,,1,0
90202302,"Iron Flame (The Empyrean, #2)",Rebecca Yarros,"Yarros, Rebecca",,"=""1649374178""","=""9781649374172""",4,4.36,Entangled: Red Tower Books,Hardcover,640,2023,2023,,2025/08/19,,,read,,,,1,0
61431922,"Fourth Wing (The Empyrean, #1)",Rebecca Yarros,"Yarros, Rebecca",,"=""1649374046""","=""9781649374042""",4,4.57,Entangled: Red Tower Books,Hardcover,517,2023,2023,2023/09/20,2023/09/04,,,read,,,,1,0
209439446,"Onyx Storm (The Empyrean, #3)",Rebecca Yarros,"Yarros, Rebecca",,"=""1649374186""","=""9781649374189""",4,4.21,Red Tower Books,Hardcover,544,2025,2025,,2025/08/19,,,read,,,,1,0
198902277,The Wedding People,Alison Espach,"Espach, Alison",,"=""""","=""""",3,4.08,Henry Holt and Company,Hardcover,367,2024,2024,2025/02/21,2025/02/08,,,read,,,,1,0
40033006,The 7½ Deaths of Evelyn Hardcastle,Stuart Turton,"Turton, Stuart",,"=""""","=""""",2,3.78,Sourcebooks Landmark,Kindle Edition,482,2018,2018,2020/10/14,2020/05/17,,,read,,,,1,0
63922274,Go as a River,Shelley Read,"Read, Shelley",,"=""1954118236""","=""9781954118232""",5,4.25,Spiegel & Grau,Hardcover,320,2023,2023,2025/08/01,2025/06/29,,,read,,,,1,0
221081944,You Dreamed of Empires,Álvaro Enrigue,"Enrigue, Álvaro",Natasha Wimmer,"=""0593544803""","=""9780593544808""",0,3.74,Riverhead Books,Paperback,240,2024,2022,,2025/07/16,to-read,to-read (#347),to-read,,,,0,0
68429,"The Well of Ascension (Mistborn, #2)",Brandon Sanderson,"Sanderson, Brandon",,"=""0765316889""","=""9780765316882""",0,4.38,Tor Books,Hardcover,590,2007,2007,,2025/06/20,currently-reading,currently-reading (#2),currently-reading,,,,1,0
68428,"Mistborn: The Final Empire (Mistborn, #1)",Brandon Sanderson,"Sanderson, Brandon",,"=""""","=""9780765311788""",5,4.49,Tor Books,Hardcover,541,2006,2006,2025/07/09,2025/06/20,,,read,,,,1,0
2767793,"The Hero of Ages (Mistborn, #3)",Brandon Sanderson,"Sanderson, Brandon",,"=""0765316897""","=""9780765316899""",0,4.56,Tor Books,Hardcover,572,2008,2008,,2025/06/20,to-read,to-read (#346),to-read,,,,0,0
217905433,The Rules of Fortune,Danielle Prescod,"Prescod, Danielle",Mindy Kaling,"=""1662520131""","=""9781662520136""",3,3.61,Mindy's Book Studio,Kindle Edition,293,2025,2025,2025/06/15,2025/06/02,,,read,,,,1,0
59093587,Patricia Wants to Cuddle,Samantha  Allen,"Allen, Samantha",,"=""163893004X""","=""9781638930044""",4,3.49,Zando,Hardcover,256,2022,2022,2025/06/02,2025/05/06,,,read,,,,1,0
